"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://images.unsplash.com/photo-1647831518297-9ac55f61636b?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb","image/jpeg","1896221","2","Indexable","",""
"https://images.unsplash.com/photo-1670303671341-b34f951de9ba?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb","image/jpeg","1608616","1","Indexable","",""
"https://images.unsplash.com/photo-1652791448297-fde75164d608?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb","image/jpeg","2042026","1","Indexable","",""
"https://images.unsplash.com/photo-1653490344875-e7922c0df6e7?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb","image/jpeg","2561422","1","Indexable","",""
